"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"DIGIKEY";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"REFDES";"SF_ID";"SUPPLIER";"TP_SIGNAL_NAME";"TYPE";"VALUE";
"1";"BC840M";"BC840M";"BC840M";"U3";"";"";"";"";"";"";"";"";"";"1914-BC840MCT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BLUE";"LED-BLUE0603";"LED-0603";"D2";"Blue SMD LED";"";"";"";"";"";"";"";"";"160-1647-1-ND";"";"";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"";"";"";"";"BLUE";
"1";"BSS84";"BSS84";"SOT23";"Q2";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"DMG2301L-7DITR-ND";"";"";"";"";"";"";"";"";"8";"";"";"";"";"";"";"";"";"";
"1";"CF-LD-1DC4-AR2W";"CF-LD-1DC4-AR2W";"CF-LD-1DC4-AR2W";"S1";"";"";"";"";"";"";"";"";"";"563-1946-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CGRM4004-G";"CGRM4004-G";"SOD-123_MINI-SMA";"D10";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"";"";"3757-SBA130AS_R1_00001TR-ND";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"1";"CORTEX_DEBUG_SMD";"CORTEX_DEBUG_SMD";"SAMTECH_FTSH-105-01";"J7";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"";"";"SAM1161-05-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FC-12M";"FC-12M";"FC-12M";"Y2";"kHz RANGE CRYSTAL UNIT";"";"";"";"";"";"";"";"";"2195-CM8V-T1A-32.768KHZ-12.5PF-20PPM-TA-QATR-ND";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";
"2";"FSM8JSMASTR";"FSM8JSMASTR";"SW4_FSM8JSMASTR_TEC";"SW1, SW2";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"450-2135-2-ND";"450-2135-1-ND";"450-2135-6-ND";"";"450-2135-2-ND";"FSM8JSMASTR";"";"TE Connectivity";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Green";"LED0603";"LED-0603";"D3";"LEDs";"";"";"";"";"";"";"";"";"754-1116-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP1703CB";"MCP1703CB";"SOT23";"IC1";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"";"";"";"";"";"";"";"AP2138N-3.3TRG1DITR-ND";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U2";"MCP73831T Li-Ion, Li-Pol Controller";"";"";"";"";"";"";"";"";"MCP73831T-2ACI/OTTR-ND";"";"";"";"";"";"";"";"";"";"";"IC-09995";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D9";"Red SMD LED";"";"";"";"";"";"";"";"";"160-1436-1-ND";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"";"";"";"";"";"RED";
"1";"TPS61259YFFR";"TPS61259YFFR";"YFF0009ACAG";"U1";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"296-34931-1-ND";"296-34931-2-ND";"296-34931-6-ND";"2156-TPS61259YFFR-ND";"296-34931-2-ND";"TPS61259YFFR";"";"Texas Instruments";"";"";"";"";"";"";"";"";"";"RefDes";"";"";"";"TYPE";"";
"7";"TPSB1,27";"TPSB1,27";"B1,27";"TP1, TP2, TP4, TP5, TP6, TP7, TP8";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"1";"USB Micro";"1050170001";"MOLEX_1050170001";"J4";"Conn.; Data; USB; Recept.; Micro; B Type; Bottom Mount, SMT, with Solder Tabs, Lead-Free Check prices";"Good";"";" USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle";" Through Hole ";"";"";"";"";"";"WM1399CT-ND";"";"Molex";"";"1050170001";"";"";"";"None";"";"None";"";"https://pricing.snapeda.com/search/part/1050170001/?ref=eda";"";"";"";"";"";
"1";"Yellow";"LED0603";"LED-0603";"D1";"LEDs";"";"";"";"";"";"";"";"";"350-4349-2-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
